datetime,level,message
2026-03-23T16:50:01.904236+00:00,INFO,[Broker] Saved 199 candles to data/XRPUSD.csv
2026-03-23T16:50:01.905243+00:00,INFO,"[Strategy] Trigger set for XRPUSD (GREEN) -> buy_trigger=1.4344, sell_trigger=1.4344, trigger_time=2026-03-23 22:18:00 IST"
2026-03-23T16:50:02.289303+00:00,INFO,"[Strategy] LTP check XRPUSD: ltp=1.4349, buy_trigger=1.4344, sell_trigger=1.4344, trigger_color=GREEN"
2026-03-23T16:50:03.868085+00:00,INFO,"[Strategy] ENTRY XRPUSD BUY at 1.4349. Trigger range=(1.4344, 1.4344), SL=1.4337, Target=1.4449"
2026-03-23T16:51:01.251859+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774272660, end=1774284660"
2026-03-23T16:51:01.801190+00:00,INFO,[Broker] Saved 200 candles to data/XRPUSD.csv
2026-03-23T16:51:01.815132+00:00,INFO,"[Strategy] Trigger set for XRPUSD (RED) -> buy_trigger=1.4349, sell_trigger=1.4336, trigger_time=2026-03-23 22:20:00 IST"
2026-03-23T16:52:01.086158+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774272720, end=1774284720"
2026-03-23T16:52:01.483783+00:00,INFO,[Broker] Saved 200 candles to data/XRPUSD.csv
2026-03-23T16:52:01.483783+00:00,INFO,"[Strategy] Trigger set for XRPUSD (RED) -> buy_trigger=1.4337, sell_trigger=1.4334, trigger_time=2026-03-23 22:21:00 IST"
2026-03-23T16:52:16.694763+00:00,INFO,[Broker] Manual square-off sent for XRPUSD.
2026-03-23T16:52:16.696760+00:00,INFO,[Strategy] Manual close cooldown set for XRPUSD until 2026-03-23T16:53:00+00:00.
2026-03-23T16:52:24.073446+00:00,INFO,[Broker] Strategy scheduler stopped by user.
2026-03-23T16:53:09.665843+00:00,INFO,[Broker] Logging in to Delta API...
2026-03-23T16:53:10.197083+00:00,INFO,[Broker] Login successful.
2026-03-23T16:53:10.198545+00:00,INFO,[Broker] OHLC scheduler thread started.
2026-03-23T16:53:10.786319+00:00,INFO,[Broker] First run scheduled for XRPUSD (1m) at 2026-03-23T16:54:00+00:00
2026-03-23T16:54:01.441645+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774272840, end=1774284840"
2026-03-23T16:54:01.900349+00:00,INFO,[Broker] Saved 200 candles to data/XRPUSD.csv
2026-03-23T16:54:01.900349+00:00,INFO,"[Strategy] Trigger set for XRPUSD (RED) -> buy_trigger=1.4344, sell_trigger=1.4343, trigger_time=2026-03-23 22:23:00 IST"
2026-03-23T16:54:02.190134+00:00,INFO,"[Strategy] LTP check XRPUSD: ltp=1.4343, buy_trigger=1.4344, sell_trigger=1.4343, trigger_color=RED"
2026-03-23T16:54:03.868168+00:00,INFO,"[Strategy] LTP check XRPUSD: ltp=1.4343, buy_trigger=1.4344, sell_trigger=1.4343, trigger_color=RED"
2026-03-23T16:54:05.555144+00:00,INFO,"[Strategy] LTP check XRPUSD: ltp=1.4343, buy_trigger=1.4344, sell_trigger=1.4343, trigger_color=RED"
2026-03-23T16:54:07.289181+00:00,INFO,"[Strategy] LTP check XRPUSD: ltp=1.434, buy_trigger=1.4344, sell_trigger=1.4343, trigger_color=RED"
2026-03-23T16:54:08.797326+00:00,INFO,"[Strategy] ENTRY XRPUSD SELL at 1.434. Trigger range=(1.4343, 1.4344), SL=1.4344, Target=1.424"
2026-03-23T16:54:12.351284+00:00,INFO,"[Strategy] STOP_LOSS hit for XRPUSD on LTP. ltp=1.4344, stop_loss=1.4344, target=1.424"
2026-03-23T16:54:13.475833+00:00,INFO,[Strategy] Square-off status for XRPUSD: SQUARE_OFF_SENT
2026-03-23T16:54:13.478025+00:00,INFO,[Strategy] EXIT XRPUSD at 1.4344. Reason=STOP_LOSS
2026-03-23T16:55:01.007777+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774272900, end=1774284900"
2026-03-23T16:55:01.425492+00:00,INFO,[Broker] Saved 200 candles to data/XRPUSD.csv
2026-03-23T16:55:01.425492+00:00,INFO,"[Strategy] Trigger set for XRPUSD (RED) -> buy_trigger=1.434, sell_trigger=1.4324, trigger_time=2026-03-23 22:24:00 IST"
2026-03-23T16:55:11.686278+00:00,INFO,"[Strategy] LTP check XRPUSD: ltp=1.4323, buy_trigger=1.434, sell_trigger=1.4324, trigger_color=RED"
2026-03-23T16:55:12.779714+00:00,INFO,"[Strategy] ENTRY XRPUSD SELL at 1.4323. Trigger range=(1.4324, 1.434), SL=1.435, Target=1.4223"
2026-03-23T16:56:01.230050+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774272960, end=1774284960"
2026-03-23T16:56:01.660879+00:00,INFO,[Broker] Saved 199 candles to data/XRPUSD.csv
2026-03-23T16:56:01.662385+00:00,INFO,"[Strategy] Trigger set for XRPUSD (RED) -> buy_trigger=1.434, sell_trigger=1.4324, trigger_time=2026-03-23 22:24:00 IST"
2026-03-23T16:57:01.078394+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774273020, end=1774285020"
2026-03-23T16:57:01.531230+00:00,INFO,[Broker] Saved 200 candles to data/XRPUSD.csv
2026-03-23T16:57:01.532238+00:00,INFO,"[Strategy] Trigger set for XRPUSD (RED) -> buy_trigger=1.434, sell_trigger=1.4329, trigger_time=2026-03-23 22:26:00 IST"
2026-03-23T16:58:01.999953+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774273080, end=1774285080"
2026-03-23T16:58:02.413546+00:00,INFO,[Broker] Saved 200 candles to data/XRPUSD.csv
2026-03-23T16:58:02.415052+00:00,INFO,"[Strategy] Trigger set for XRPUSD (RED) -> buy_trigger=1.4341, sell_trigger=1.4331, trigger_time=2026-03-23 22:27:00 IST"
2026-03-23T16:59:00.613382+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774273140, end=1774285140"
2026-03-23T16:59:01.162852+00:00,INFO,[Broker] Saved 200 candles to data/XRPUSD.csv
2026-03-23T16:59:01.163855+00:00,INFO,"[Strategy] Trigger set for XRPUSD (GREEN) -> buy_trigger=1.4341, sell_trigger=1.4331, trigger_time=2026-03-23 22:28:00 IST"
2026-03-23T17:00:00.598950+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774273200, end=1774285200"
2026-03-23T17:00:00.994880+00:00,INFO,[Broker] Saved 199 candles to data/XRPUSD.csv
2026-03-23T17:00:00.995862+00:00,INFO,"[Strategy] Trigger set for XRPUSD (GREEN) -> buy_trigger=1.4341, sell_trigger=1.4331, trigger_time=2026-03-23 22:28:00 IST"
2026-03-23T17:00:54.459308+00:00,INFO,"[Strategy] STOP_LOSS hit for XRPUSD on LTP. ltp=1.4353, stop_loss=1.435, target=1.4223"
2026-03-23T17:00:55.760669+00:00,INFO,[Strategy] Square-off status for XRPUSD: SQUARE_OFF_SENT
2026-03-23T17:00:55.761677+00:00,INFO,[Strategy] EXIT XRPUSD at 1.4353. Reason=STOP_LOSS
2026-03-23T17:00:55.762748+00:00,WARNING,[Strategy] Disabled XRPUSD after 2 consecutive stop losses.
2026-03-23T17:00:56.782070+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:00:57.796657+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:00:58.809618+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:00:59.815264+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:00.826151+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:01.828440+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:02.835105+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:03.845263+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:04.852330+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:05.864464+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:06.874603+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:07.878603+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:08.888259+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:09.903080+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:10.919295+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:11.920368+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:12.933571+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:13.944176+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:14.958585+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:15.972737+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:16.988403+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:18.003894+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:19.014420+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:20.026289+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:21.027298+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:22.039752+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:23.053643+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:24.066230+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:25.074113+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:26.088062+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:27.091192+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:28.095149+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:29.106997+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:30.117004+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:31.131780+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:32.144710+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:33.158035+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:34.169259+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:35.178246+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:36.188053+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:37.200131+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:38.212785+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:39.226153+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:40.233231+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:41.248449+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:42.262179+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:43.273235+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:44.287498+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:45.299927+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:46.311439+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:47.323488+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:48.325435+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:49.337424+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:50.343460+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:51.359437+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:52.371561+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:53.381099+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:54.392278+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:55.405301+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:56.416263+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:57.424888+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:58.437041+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:01:59.446276+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:02:00.454511+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:02:01.464478+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:02:02.476635+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
2026-03-23T17:02:03.488114+00:00,INFO,[Broker] Scheduler idle: no enabled symbols.
