date,time,open,high,low,close,volume,time_human,time_iso8601
2026-03-24 18:39:00+05:30,1774357740,1.4124,1.4139,1.4103,1.4136,58532.0,2026-03-24 18:39:00 IST,2026-03-24T18:39:00+05:30
2026-03-24 18:42:00+05:30,1774357920,1.4137,1.414,1.4125,1.4131,36377.0,2026-03-24 18:42:00 IST,2026-03-24T18:42:00+05:30
2026-03-24 18:45:00+05:30,1774358100,1.4133,1.4139,1.4116,1.4121,41812.0,2026-03-24 18:45:00 IST,2026-03-24T18:45:00+05:30
2026-03-24 18:48:00+05:30,1774358280,1.4119,1.4122,1.4088,1.4105,81615.0,2026-03-24 18:48:00 IST,2026-03-24T18:48:00+05:30
2026-03-24 18:51:00+05:30,1774358460,1.4105,1.4125,1.4104,1.4122,21126.0,2026-03-24 18:51:00 IST,2026-03-24T18:51:00+05:30
2026-03-24 18:54:00+05:30,1774358640,1.4123,1.4128,1.4116,1.4125,12049.0,2026-03-24 18:54:00 IST,2026-03-24T18:54:00+05:30
2026-03-24 18:57:00+05:30,1774358820,1.413,1.4134,1.4119,1.4132,10361.0,2026-03-24 18:57:00 IST,2026-03-24T18:57:00+05:30
2026-03-24 19:00:00+05:30,1774359000,1.4135,1.4163,1.413,1.4154,44740.0,2026-03-24 19:00:00 IST,2026-03-24T19:00:00+05:30
2026-03-24 19:03:00+05:30,1774359180,1.4156,1.416,1.4127,1.4131,21395.0,2026-03-24 19:03:00 IST,2026-03-24T19:03:00+05:30
2026-03-24 19:06:00+05:30,1774359360,1.4134,1.4134,1.4109,1.4119,6358.0,2026-03-24 19:06:00 IST,2026-03-24T19:06:00+05:30
2026-03-24 19:09:00+05:30,1774359540,1.4117,1.4117,1.4033,1.4041,146217.0,2026-03-24 19:09:00 IST,2026-03-24T19:09:00+05:30
2026-03-24 19:12:00+05:30,1774359720,1.4047,1.4066,1.4028,1.4037,42695.0,2026-03-24 19:12:00 IST,2026-03-24T19:12:00+05:30
2026-03-24 19:15:00+05:30,1774359900,1.4036,1.4067,1.4021,1.4053,40282.0,2026-03-24 19:15:00 IST,2026-03-24T19:15:00+05:30
2026-03-24 19:18:00+05:30,1774360080,1.405,1.4059,1.403,1.4036,46299.0,2026-03-24 19:18:00 IST,2026-03-24T19:18:00+05:30
2026-03-24 19:21:00+05:30,1774360260,1.4034,1.4048,1.4007,1.4035,66646.0,2026-03-24 19:21:00 IST,2026-03-24T19:21:00+05:30
2026-03-24 19:24:00+05:30,1774360440,1.4028,1.4043,1.4021,1.4028,32516.0,2026-03-24 19:24:00 IST,2026-03-24T19:24:00+05:30
2026-03-24 19:27:00+05:30,1774360620,1.4027,1.405,1.4,1.4018,36497.0,2026-03-24 19:27:00 IST,2026-03-24T19:27:00+05:30
2026-03-24 19:30:00+05:30,1774360800,1.4019,1.4045,1.4017,1.404,87721.0,2026-03-24 19:30:00 IST,2026-03-24T19:30:00+05:30
2026-03-24 19:33:00+05:30,1774360980,1.4038,1.4052,1.4025,1.4029,57124.0,2026-03-24 19:33:00 IST,2026-03-24T19:33:00+05:30
2026-03-24 19:36:00+05:30,1774361160,1.4029,1.4072,1.4024,1.4052,90141.0,2026-03-24 19:36:00 IST,2026-03-24T19:36:00+05:30
2026-03-24 19:39:00+05:30,1774361340,1.4051,1.4063,1.4016,1.4018,43734.0,2026-03-24 19:39:00 IST,2026-03-24T19:39:00+05:30
2026-03-24 19:42:00+05:30,1774361520,1.4016,1.4019,1.3966,1.3995,113586.0,2026-03-24 19:42:00 IST,2026-03-24T19:42:00+05:30
2026-03-24 19:45:00+05:30,1774361700,1.3993,1.3998,1.3967,1.3986,60553.0,2026-03-24 19:45:00 IST,2026-03-24T19:45:00+05:30
2026-03-24 19:48:00+05:30,1774361880,1.3976,1.3994,1.3975,1.3986,10809.0,2026-03-24 19:48:00 IST,2026-03-24T19:48:00+05:30
2026-03-24 19:51:00+05:30,1774362060,1.3988,1.4,1.3971,1.3984,106930.0,2026-03-24 19:51:00 IST,2026-03-24T19:51:00+05:30
2026-03-24 19:54:00+05:30,1774362240,1.3985,1.4,1.3976,1.3997,24798.0,2026-03-24 19:54:00 IST,2026-03-24T19:54:00+05:30
2026-03-24 19:57:00+05:30,1774362420,1.4,1.4043,1.3999,1.4019,44537.0,2026-03-24 19:57:00 IST,2026-03-24T19:57:00+05:30
2026-03-24 20:00:00+05:30,1774362600,1.4021,1.4032,1.4002,1.4014,29570.0,2026-03-24 20:00:00 IST,2026-03-24T20:00:00+05:30
2026-03-24 20:03:00+05:30,1774362780,1.4011,1.4034,1.4011,1.4019,6290.0,2026-03-24 20:03:00 IST,2026-03-24T20:03:00+05:30
2026-03-24 20:06:00+05:30,1774362960,1.402,1.4023,1.3996,1.4005,10301.0,2026-03-24 20:06:00 IST,2026-03-24T20:06:00+05:30
2026-03-24 20:09:00+05:30,1774363140,1.4003,1.4003,1.3972,1.3976,24419.0,2026-03-24 20:09:00 IST,2026-03-24T20:09:00+05:30
2026-03-24 20:12:00+05:30,1774363320,1.3974,1.3995,1.3969,1.3991,16134.0,2026-03-24 20:12:00 IST,2026-03-24T20:12:00+05:30
2026-03-24 20:15:00+05:30,1774363500,1.3996,1.4005,1.3959,1.3979,51536.0,2026-03-24 20:15:00 IST,2026-03-24T20:15:00+05:30
2026-03-24 20:18:00+05:30,1774363680,1.3988,1.3997,1.3949,1.3958,40356.0,2026-03-24 20:18:00 IST,2026-03-24T20:18:00+05:30
2026-03-24 20:21:00+05:30,1774363860,1.396,1.4083,1.396,1.4043,99280.0,2026-03-24 20:21:00 IST,2026-03-24T20:21:00+05:30
2026-03-24 20:24:00+05:30,1774364040,1.4042,1.4063,1.4028,1.4038,48627.0,2026-03-24 20:24:00 IST,2026-03-24T20:24:00+05:30
2026-03-24 20:27:00+05:30,1774364220,1.4036,1.4036,1.3985,1.4014,60094.0,2026-03-24 20:27:00 IST,2026-03-24T20:27:00+05:30
2026-03-24 20:30:00+05:30,1774364400,1.4016,1.4045,1.4015,1.4035,56680.0,2026-03-24 20:30:00 IST,2026-03-24T20:30:00+05:30
2026-03-24 20:33:00+05:30,1774364580,1.4034,1.4044,1.4011,1.402,27222.0,2026-03-24 20:33:00 IST,2026-03-24T20:33:00+05:30
2026-03-24 20:36:00+05:30,1774364760,1.4024,1.4034,1.4007,1.4016,23735.0,2026-03-24 20:36:00 IST,2026-03-24T20:36:00+05:30
2026-03-24 20:39:00+05:30,1774364940,1.4019,1.4032,1.3998,1.4026,14406.0,2026-03-24 20:39:00 IST,2026-03-24T20:39:00+05:30
2026-03-24 20:42:00+05:30,1774365120,1.4026,1.4035,1.4009,1.4012,11318.0,2026-03-24 20:42:00 IST,2026-03-24T20:42:00+05:30
2026-03-24 20:45:00+05:30,1774365300,1.4024,1.4035,1.4011,1.4013,9749.0,2026-03-24 20:45:00 IST,2026-03-24T20:45:00+05:30
2026-03-24 20:48:00+05:30,1774365480,1.4016,1.4029,1.4016,1.4019,7759.0,2026-03-24 20:48:00 IST,2026-03-24T20:48:00+05:30
2026-03-24 20:51:00+05:30,1774365660,1.4026,1.4067,1.4022,1.4058,26952.0,2026-03-24 20:51:00 IST,2026-03-24T20:51:00+05:30
2026-03-24 20:54:00+05:30,1774365840,1.4058,1.4079,1.4051,1.4068,54941.0,2026-03-24 20:54:00 IST,2026-03-24T20:54:00+05:30
2026-03-24 20:57:00+05:30,1774366020,1.4066,1.4071,1.4034,1.4037,32051.0,2026-03-24 20:57:00 IST,2026-03-24T20:57:00+05:30
2026-03-24 21:00:00+05:30,1774366200,1.4037,1.4044,1.4002,1.4006,55168.0,2026-03-24 21:00:00 IST,2026-03-24T21:00:00+05:30
2026-03-24 21:03:00+05:30,1774366380,1.4005,1.4035,1.4002,1.4029,12742.0,2026-03-24 21:03:00 IST,2026-03-24T21:03:00+05:30
2026-03-24 21:06:00+05:30,1774366560,1.403,1.4071,1.4026,1.4071,12356.0,2026-03-24 21:06:00 IST,2026-03-24T21:06:00+05:30
2026-03-24 21:09:00+05:30,1774366740,1.4066,1.4076,1.4051,1.4056,15511.0,2026-03-24 21:09:00 IST,2026-03-24T21:09:00+05:30
2026-03-24 21:12:00+05:30,1774366920,1.4056,1.4056,1.4031,1.4037,9630.0,2026-03-24 21:12:00 IST,2026-03-24T21:12:00+05:30
2026-03-24 21:15:00+05:30,1774367100,1.4039,1.404,1.4025,1.4029,11243.0,2026-03-24 21:15:00 IST,2026-03-24T21:15:00+05:30
2026-03-24 21:18:00+05:30,1774367280,1.4026,1.405,1.4025,1.4045,6502.0,2026-03-24 21:18:00 IST,2026-03-24T21:18:00+05:30
